awb,source,target,peso,pesotaxavel
047-05863395,LIS,MPM,35,"45,75"
047-05863406,LIS,MPM,84,84
221-03906372,LIS,FNC,"33,5","33,5"
331-84757455,LIS,PDL,53,53
331-84757466,LIS,TER,32,32
057-00424911,LIS,SSG,32,"48,96"
331-84757470,LIS,PDL,"14,5","14,5"
221-03906383,LIS,FNC,4,"9,78"
047-05863410,LIS,DFW,69,"251,2"
118-11423963,LIS,LAD,7,10
221-03906394,LIS,FNC,5,5
221-03906405,LIS,FNC,"1,5","1,5"
047-05863421,LIS,MPM,37,"97,5"
221-03906416,LIS,FNC,624,624
118-11424000,LIS,LAD,125,125
047-05863443,LIS,FNC,31,31
047-05863454,LIS,PDL,32,32
331-84757481,LIS,TER,"17,5","17,5"
331-84757492,LIS,PIX,"1,5","1,88"
331-84757503,LIS,SMA,"1,5","1,88"
331-84757514,LIS,HOR,"9,5","9,5"
047-05863465,LIS,MPM,42,42
331-84757525,LIS,HOR,"4,5","5,67"
331-84757536,LIS,TER,"2,12","2,83"
047-05863476,LIS,GRU,694,694
118-11475225,LIS,LAD,614,614
118-11475236,LIS,LAD,"22,5","22,5"
047-05863480,LIS,RAI,60,"69,59"
057-00424922,LIS,SSG,70,"175,88"
047-09506571,GRU,MPM,"96,6","96,6"
118-11475240,LIS,LAD,670,670
176-60968342,LIS,HKG,365,365
172-44946565,ICN,LIS,334,334
221-03906420,LIS,FNC,"26,5","26,5"
331-84757540,LIS,PDL,"56,5","56,5"
331-84757551,LIS,TER,9,9
331-84757562,LIS,SMA,5,5
331-84757573,LIS,GRW,1,"1,88"
118-11475251,LIS,LAD,782,782
235-78363246,LIS,NKC,22,22
118-11475262,LIS,CBT,21,21
047-05863491,LIS,MPM,29,29
221-03906431,LIS,FNC,20,20
047-05863513,LIS,MPM,7,"9,07"
047-05863524,LIS,MPM,20,"29,15"
047-05863535,LIS,MPM,39,"81,6"
057-00424933,LIS,SSG,40,88
221-03906442,LIS,FNC,"3,6","8,33"
047-05863546,LIS,MPM,245,245
176-60968364,LIS,HKG,297,"919,72"
176-60968375,LIS,HKG,189,"273,18"
221-03906453,LIS,FNC,10,"15,45"
118-11347851,LIS,LAD,706,706
118-11347840,LIS,LAD,396,396
118-11347836,LIS,LAD,2867,2867
615-05486456,LIS,MAN,118,118
118-11347873,LIS,LAD,2196,2196
118-11347884,LIS,LAD,489,489
047-05860960,LIS,MPM,696,696
157-29768966,LIS,MAA,65,100
118-11347895,LIS,LAD,456,456
125-91080345,LIS,JNB,496,496
047-05861085,LIS,LAD,1395,1395
118-11347943,LIS,LAD,1035,1035
118-11347965,LIS,LAD,500,500
047-05861096,LIS,VXE,5,"8,8"
125-91080356,LIS,JFK,26,"36,83"
047-05861133,LIS,RAI,30,30
047-05861144,LIS,LAD,1754,1754
047-05861155,LIS,RAI,112,"119,5"
047-05861214,LIS,LAD,192,192
235-78363084,LIS,ATL,1340,"3488,54"
157-20331953,LIS,MFM,143,224
118-11347932,LIS,LAD,1182,1182
235-78363095,LIS,ATL,2788,"2816,54"
047-05861251,LIS,LAD,842,842
118-11347980,LIS,LAD,505,505
047-05861262,LIS,RAI,8,8
118-11347991,LIS,LAD,1048,1048
047-05861284,LIS,LAD,4215,5152
047-05861306,LIS,LAD,225,"240,8"
047-05861332,LIS,LAD,144,"158,4"
047-05861343,LIS,LAD,3460,3460
047-05861354,LIS,MPM,129,129
047-05861376,LIS,RAI,192,192
118-11348002,LIS,LAD,97,"120,34"
118-11348013,LIS,LAD,548,548
118-11348024,LIS,LAD,1048,1048
118-11348035,LIS,LAD,390,390
118-11348046,LIS,LAD,145,145
118-11348061,LIS,LAD,4050,4050
125-91961962,LIS,NBO,30,"43,31"
118-11348072,LIS,LAD,100,100
118-11348094,LIS,LAD,1288,1288
047-05861450,LIS,RAI,69,"78,56"
118-11348105,LIS,LAD,479,479
118-11413511,LIS,LAD,782,782
118-11413522,LIS,LAD,4340,4340
047-05861516,OPO,MPM,3360,3360
047-05861531,LIS,RAI,40,40
047-05861553,LIS,VXE,13,13
118-11413533,LIS,LAD,3850,4032
125-91961973,LIS,LHR,71,71
118-11413544,LIS,LAD,506,506
047-05861645,LIS,RAI,5,5
118-11413555,LIS,LAD,87,87
118-11413566,LIS,LAD,245,245
125-91961984,LIS,LHR,460,460
047-05861660,LIS,RAI,23,23
047-05861671,LIS,MPM,421,421
047-05861682,LIS,RAI,31,31
118-11413581,LIS,LAD,6,6
118-11413592,LIS,LAD,494,494
118-11413603,LIS,LAD,2142,"3037,97"
047-05861693,LIS,VXE,5,5
118-11413614,LIS,LAD,49,49
047-05861715,LIS,MPM,65,65
118-11413625,LIS,LAD,43,43
235-78363121,LIS,TPE,262,262
125-91961995,LIS,DXB,171,304
047-05861730,LIS,RAI,86,86
118-11413636,LIS,LAD,392,392
125-91962006,LIS,JNB,496,496
118-11413662,LIS,LAD,2255,"3643,33"
118-11413673,LIS,LAD,1489,1747
118-11413684,LIS,LAD,466,466
047-05861844,LIS,VXE,12,12
118-11413721,LIS,LAD,135,135
235-78363143,LIS,MLA,4,"5,77"
118-11413743,LIS,LAD,1142,1142
047-05861866,LIS,RAI,28,28
118-11413754,LIS,LAD,220,220
047-05861892,LIS,RAI,22,22
125-91962010,LIS,MAN,28,28
047-05861903,LIS,VXE,1,"1,87"
125-91962021,LIS,YUL,294,294
047-05861925,LIS,RAI,82,82
157-11643925,LIS,HKG,462,1280
118-11413780,LIS,LAD,519,519
157-11644010,LIS,DOH,418,418
