awb,source,target,peso,pesotaxavel
125-93195465,OPO,AUS,384.0,420.0
125-93195476,OPO,LAX,700.0,1280.0
047-09467216,OPO,MPM,646.0,1187.33
047-09467242,OPO,LAD,646.0,646.0
125-93195480,OPO,AUS,332.0,532.0
047-09467264,OPO,JFK,450.0,450.0
125-93195491,OPO,LAX,1044.1,1536.0
11811346160,LIS,LAD,207.0,207.0
125-93195502,OPO,KUL,129.0,129.0
176-26110523,OPO,SYD,75.0,165.04
176-26110534,OPO,AKL,23.0,57.69
125-93195513,OPO,LAX,120.5,138.0
125-93195524,OPO,AUS,383.0,608.0
11811346171,LGG,LAD,210.0,210.0
7549658512,OPO,JFK,1780.0,1780.0
11811346182,LIS,LAD,283.0,283.0
11811346204,LIS,LAD,174.0,174.0
235-15605461,OPO,PVG,180.0,188.0
125-93195546,OPO,LAX,679.0,944.0
125-93195561,OPO,AUS,176.0,256.0
125-93195572,OPO,MCI,80.0,96.0
235-15605483,OPO,PVG,429.5,576.0
125-93195583,OPO,SFO,107.0,107.0
047-09467275,OPO,MPM,86.0,133.06
11811346215,LIS,LAD,321.0,321.0
125-93195594,OPO,AUS,375.0,384.0
11811346241,LIS,LAD,351.0,351.0
125-93195605,OPO,AUS,345.0,564.0
235-15605494,OPO,KUL,477.0,477.0
047-09467286,OPO,MPM,392.0,392.0
11811346252,LIS,LAD,37.25,37.25
176-26110545,OPO,AKL,326.5,326.5
176-26110556,OPO,SYD,72.0,165.2
7549658523,OPO,EZE,61.0,61.0
047-09467290,OPO,MPM,350.0,350.0
125-93195616,OPO,AUS,2110.0,3368.0
11811346274,LIS,LAD,306.5,342.12
125-93195620,OPO,LAX,828.6,1150.0
61531989506,OPO,DXB,803.0,803.0
047-09467301,OPO,MPM,1.0,1.5
11811346300,LIS,LAD,416.0,416.0
125-93195642,OPO,AUS,1289.0,1472.0
125-93195653,OPO,MSY,117.0,270.0
047-09467323,OPO,MPM,4.0,4.0
118-11417011,LIS,LAD,74.0,96.0
176-26110571,OPO,AKL,80.0,155.39
5791680724,OPO,AUS,800.0,1408.0
118-11417022,LIS,LAD,2548.14,2573.26
047-09467345,OPO,MPM,32.37,32.37
047-09467334,OPO,MPM,27.5,27.5
235-15605531,OPO,KUL,63.5,136.0
125-93195675,OPO,LAX,583.0,828.0
118-11417044,LIS,LAD,213.0,213.0
125-93195664,OPO,AUS,316.0,472.0
125-93199993,OPO,CLE,115.5,164.0
125-93200004,OPO,AUS,466.0,512.0
047-09467360,OPO,MPM,7.0,7.0
125-93200015,OPO,AUS,172.0,256.5
047-09467371,OPO,MPM,272.0,272.0
118-11417081,LIS,LAD,470.5,470.5
047-09467382,OPO,MPM,31.0,41.6
118-11417103,LIS,LAD,333.0,333.0
125-93200026,OPO,AUS,1050.0,1156.0
047-09467404,OPO,MPM,182.23,182.23
176-60975644,OPO,PVG,149.52,335.0
125-93200030,OPO,AUS,1.19,1596.0
118-11417114,LIS,LAD,186.0,227.5
118-11417125,LIS,LAD,66.0,90.64
047-09467415,OPO,ORD,1656.83,2844.8
047-09467426,OPO,RAI,,
118-11417140,LIS,LAD,1543.0,1543.0
118-11417151,OPO,LAD,78.4,166.4
118-11417162,LIS,LAD,300.0,496.53
047-09467452,OPO,RAI,7.9,13.44
125-93200041,OPO,AUS,1153.0,1504.0
176-60975655,OPO,PEK,687.0,687.0
118-11417173,LIS,LAD,359.0,496.85
118-11417184,LIS,LAD,11.8,15.55
118-11417195,LIS,LAD,443.4,443.4
125-93200052,OPO,AUS,233.0,256.0
118-11417210,LIS,LAD,180.0,180.0
047-09467496,OPO,MPM,582.0,582.0
118-11417221,LIS,LAD,610.05,610.05
235-15605542,OPO,KUL,143.0,160.0
047-09467500,OPO,MPM,1.3,2.39
118-11417232,LIS,LAD,1696.0,1696.0
176-60975670,OPO,AKL,120.0,234.29
125-93200074,OPO,AUS,220.0,299.25
118-11417254,LIS,LAD,386.0,386.0
118-11417265,LIS,LAD,1728.5,1728.5
047-09467511,OPO,MPM,311.0,318.08
118-11417276,LIS,LAD,323.0,323.0
020-96252586,OPO,AUS,205.0,216.0
020-96252575,OPO,NRT,167.0,607.73
047-09467522,OPO,LAX,820.0,1296.0
047-09467533,OPO,MPM,127.0,333.32
118-11417291,LIS,LAD,364.0,455.7
020-96252590,OPO,AUS,676.0,947.09
7430269864,OPO,EZE,79.0,79.0
020-96252601,OPO,AUS,690.0,708.0
118-11417302,LIS,LAD,324.5,324.5
125-93200085,OPO,AUS,418.0,640.0
047-09467555,OPO,LAX,490.0,672.0
125-93200096,OPO,JNB,35.0,35.0
118-11470513,LIS,LAD,1126.0,1126.0
